,Completed
720575940628114684,True
720575940628209680,True
720575940628263441,True
720575940628412145,True
720575940628483322,True
720575940628500540,True
720575940628523343,True
720575940628659049,True
720575940628683063,True
720575940628746690,True
720575940628762471,True
720575940628826128,True
720575940628832256,True
720575940628853239,True
720575940628869648,True
720575940628972048,True
720575940628995587,True
720575940628997123,True
720575940629025324,True
720575940629176663,True
720575940629211607,True
720575940629370844,True
720575940629373890,True
720575940629388135,True
720575940629398466,True
720575940629421415,True
720575940629470838,True
720575940629486075,True
720575940629510338,True
720575940629561347,True
720575940629564688,True
720575940629623351,True
720575940629744599,True
720575940629773276,True
720575940629804158,True
720575940629810748,True
720575940629852866,True
720575940629854914,True
720575940629888530,True
720575940629946951,True
720575940630044278,True
720575940630122796,True
720575940630159616,True
720575940630181852,True
720575940630195909,True
720575940630233916,True
720575940630246460,True
720575940630307639,True
720575940630461660,True
720575940630480348,True
720575940630553415,True
720575940630664556,True
720575940630667372,True
720575940630674038,True
720575940630679801,True
720575940630689644,True
720575940630705170,True
720575940630724652,True
720575940630771449,True
720575940630781433,True
720575940630797113,True
720575940630820919,True
720575940630999493,True
720575940631021220,True
720575940631092943,True
720575940631147148,True
720575940631283267,True
720575940631340815,True
720575940631349335,True
720575940631365089,True
720575940631393484,True
720575940631417057,True
720575940631429707,True
720575940631662648,True
720575940631703608,True
720575940631898285,True
720575940631918649,True
720575940631919976,True
720575940631987364,True
720575940631994728,True
720575940631997032,True
720575940632029496,True
720575940632030008,True
720575940632047890,True
720575940632126412,True
720575940632252743,True
720575940632274914,True
720575940632293346,True
720575940632303441,True
720575940632365905,True
720575940632425919,True
720575940632486969,True
720575940632556831,True
720575940632632740,True
720575940632648612,True
720575940632648868,True
720575940632722636,True
720575940632726220,True
720575940632815780,True
720575940632835155,True
720575940632847661,True
720575940632877869,True
720575940632889389,True
720575940632974443,True
720575940633065901,True
720575940633143833,True
720575940633198284,True
720575940633277209,True
720575940633293025,True
720575940633316307,True
720575940633373651,True
720575940633416604,True
720575940633488153,True
720575940633762714,True
720575940633771745,True
720575940633796252,True
720575940634093337,True
720575940634428058,True
720575940634459290,True
720575940634462304,True
720575940634796536,True
720575940634825623,True
720575940634939292,True
720575940635164779,True
720575940635172191,True
720575940635175007,True
720575940635179871,True
720575940635210859,True
720575940635274615,True
720575940635462757,True
720575940635527322,True
720575940635576767,True
720575940635596212,True
720575940635596468,True
720575940635642725,True
720575940635925615,True
720575940636029807,True
720575940636053678,True
720575940636346487,True
720575940636541285,True
720575940636552805,True
720575940636647269,True
720575940636649061,True
720575940636675214,True
720575940636685454,True
720575940636809646,True
720575940637144944,True
720575940637216624,True
720575940637530084,True
720575940637568838,True
720575940637656286,True
720575940637763135,True
720575940637790527,True
720575940638001498,True
720575940638103349,True
720575940638125887,True
720575940638183652,True
720575940638202345,True
720575940638218173,True
720575940638604915,True
720575940638810677,True
720575940638989894,True
720575940639043280,True
720575940639092294,True
720575940639198653,True
720575940639206077,True
720575940639274147,True
720575940639332736,True
720575940639634304,True
720575940639769715,True
720575940639830179,True
720575940640096976,True
720575940640162944,True
720575940640407923,True
720575940640649691,True
720575940640839120,True
720575940641281013,True
720575940641339611,True
720575940641366517,True
720575940641480949,True
720575940641590747,True
720575940641632653,True
720575940642335373,True
720575940642361485,True
720575940642428045,True
720575940643867296,True
720575940644022551,True
720575940644653348,True
720575940644666148,True
720575940644965399,True
720575940644995950,True
720575940645332259,True
720575940645503854,True
720575940645521262,True
720575940645528430,True
720575940645556334,True
720575940646530612,True
720575940647010356,True
720575940647023156,True
720575940647031860,True
720575940647033396,True
720575940647037492,True
720575940647561524,True
720575940648180868,True
720575940649829241,True
720575940652580086,True
720575940655011489,True
720575940655013025,True
720575940655014049,True
720575940660219265,True
720575940660219521,True
720575940660220289,True
720575940660223873,True
720575940660233601,True
720575940660292225,True
